Sr No.,Player me,Team Code,Age,Player Height,Player_Weight,country,draft_year,draft_round,draft_number,pts,net_rating
3232,Samuel Dalembert,PHI,24,210.82,113.398,Haiti,2001,1,26,8,-1.2
3233,Scot Pollard,IND,29,210.82,120.20188,USA,1997,1,19,1.7,-6.9
3234,Tamar Slay,NJN,24,203.2,97.52228,USA,2002,2,53,2.4,-14.2
3235,Tayshaun Prince,DET,24,205.74,97.52228,USA,2002,1,23,10.3,7.3
3236,Theo Ratliff,POR,31,208.28,106.59412,USA,1995,1,18,7.9,-0.4
3237,Vlade Divac,SAC,36,215.9,117.93392,Serbia and Montenegro,1989,1,26,9.9,7.1
3238,Vladimir Radmanovic,SEA,23,208.28,106.140528,Serbia,2001,1,12,12,0.3
3239,Vladimir Stepania,POR,28,215.9,115.66596,Georgia,1998,1,27,2.6,5.2
3240,Voshon Lerd,DEN,31,193.04,92.98636,USA,1994,2,46,14.2,1
3241,Wally Szczerbiak,MIN,27,200.66,106.59412,USA,1999,1,6,10.2,9.1
3242,Walter McCarty,BOS,30,208.28,104.32616,USA,1996,1,19,7.9,-1.1
3243,Wang Zhi-zhi,MIA,26,215.9,128.820128,Chi,1999,2,36,2.9,6.8
3244,Wesley Person,ATL,33,198.12,90.7184,USA,1994,1,23,5.8,-8
3245,Willie Green,PHI,22,193.04,90.7184,USA,2003,2,41,6.9,-4
3246,Yao Ming,HOU,23,228.6,140.61352,Chi,2002,1,1,17.5,3.6
3247,Zach Randolph,POR,22,205.74,122.46984,USA,2001,1,19,20.1,-1.6
3248,Zarko Cabarkapa,PHX,23,210.82,106.59412,Serbia and Montenegro,2003,1,17,4.1,-11.7
3249,Zaza Pachulia,ORL,20,210.82,108.86208,Georgia,2003,2,42,3.3,-6.2
3250,Zeljko Rebraca,ATL,32,213.36,116.573144,Yugoslavia,1994,2,54,3.8,-8.7
3251,Zendon Hamilton,PHI,29,210.82,108.86208,USA,,,,3.8,-7.4
3252,Zoran Planinic,NJN,21,200.66,88.45044,Croatia,2003,1,22,3.1,-9.4
3253,Zydrus Ilgauskas,CLE,29,220.98,117.93392,Lithuania,1996,1,20,15.3,-3.7
3254,Reggie Miller,IND,38,200.66,88.45044,USA,1987,1,11,10,10.2
3255,Reggie Evans,SEA,24,203.2,111.13004,USA,,,,2.9,-3.6
3256,Reece Gaines,ORL,23,198.12,92.98636,USA,2003,1,15,1.8,-3
3257,Ray Allen,SEA,28,195.58,92.98636,USA,1996,1,5,23,1.5
3258,Raul Lopez,UTA,24,182.88,72.57472,Spain,2001,1,24,7,-2.2
3259,Rasual Butler,MIA,25,200.66,92.98636,USA,2002,2,52,6.8,3.4
3260,Vitaly Potapenko,SEA,29,208.28,129.27372,Ukraine,1996,1,12,7.1,-3.5
3261,Vince Carter,TOR,27,198.12,102.0582,USA,1998,1,5,22.5,0.4
3262,Vin Baker,NYK,32,210.82,113.398,USA,1993,1,8,9.8,-1.7
3263,Udonis Haslem,MIA,24,203.2,103.418976,USA,,,,7.3,0
3264,Theron Smith,MEM,23,203.2,102.0582,USA,,,,2.2,0.7
3265,Tierre Brown,NOH,25,187.96,85.728888,USA,,,,2,-66.7
3266,Tim Duncan,SAS,28,213.36,117.93392,US Virgin Islands,1997,1,1,22.3,11.3
3267,Tim Thomas,NYK,27,208.28,108.86208,USA,1997,1,7,14.7,0.7
3268,Tom Gugliotta,UTA,34,208.28,113.398,USA,1992,1,6,2.9,-7.9
3269,Toni Kukoc,MIL,35,210.82,106.59412,Croatia,1990,2,29,8.4,1.3
3270,Tony Battie,CLE,28,210.82,108.86208,USA,1997,1,5,5.6,-2.7
3271,Tony Delk,DAL,30,187.96,85.728888,USA,1996,1,16,6,-2.9
3272,Tony Massenburg,SAC,36,205.74,113.398,USA,1990,2,43,4.3,-8.5
3273,Tony Parker,SAS,22,187.96,81.64656,France,2001,1,28,14.7,8.4
3274,Torraye Braggs,WAS,28,203.2,111.13004,USA,1998,2,57,2.7,9.1
3275,Kelvin Cato,HOU,29,210.82,124.7378,USA,1997,1,15,6.1,3.1
3276,Tracy McGrady,ORL,25,203.2,95.25432,USA,1997,1,9,28,-7.1
3277,Travis Best,DAL,31,180.34,83.91452,USA,1995,1,23,2.8,9.1
3278,Travis Hansen,ATL,26,198.12,92.98636,USA,2003,2,37,3,-0.9
3279,Travis Outlaw,POR,19,205.74,95.25432,USA,2003,1,23,1,-61
3280,Tremaine Fowlkes,DET,28,198.12,96.161504,USA,1998,2,54,1.2,-6
3281,Trenton Hassell,MIN,25,195.58,90.7184,USA,2001,2,29,5,7.7
3282,Troy Bell,MEM,23,185.42,81.64656,USA,2003,1,16,1.8,8
3283,Troy Hudson,MIN,28,185.42,77.11064,USA,,,,7.5,-4.7
3284,Troy Murphy,GSW,24,210.82,111.13004,USA,2001,1,14,10,-2.6
3285,Tyrone Hill,MIA,36,205.74,113.398,USA,1990,1,11,1.8,-27.9
3286,Tyronn Lue,ORL,27,182.88,80.739376,USA,1998,1,23,10.5,-10.2
3287,Tyson Chandler,CHI,21,215.9,106.59412,USA,2001,1,2,6.1,-9.4
3288,Tracy Murray,POR,32,200.66,104.32616,USA,1992,1,18,1.1,-10.9
3289,Keith Van Horn,MIL,28,208.28,108.86208,USA,1997,1,2,16.1,0.4
3290,Keith McLeod,MIN,24,187.96,86.18248,USA,,,,2.7,-6.4
3291,Keith Bogans,ORL,24,195.58,97.52228,USA,2003,2,43,6.8,-10.2
3292,Curtis Borchardt,UTA,23,213.36,108.86208,USA,2002,1,18,3.6,-6.2
3293,Corliss Williamson,DET,30,200.66,111.13004,USA,1995,1,13,9.5,5.8
3294,Corie Blount,TOR,35,208.28,109.769264,USA,1993,1,25,4,-0.3
3295,Corey Maggette,LAC,24,198.12,103.418976,USA,1999,1,13,20.7,-4.3
3296,Clifford Robinson,GSW,37,208.28,108.86208,USA,1989,2,36,11.8,-2
3297,Clar. Weatherspoon,HOU,33,200.66,122.46984,USA,1992,1,9,5,-5
3298,Chucky Atkins,BOS,29,180.34,72.57472,USA,,,,8.4,2.1
3299,Christian Laettner,WAS,34,210.82,111.13004,USA,1992,1,3,5.9,-8.8
3300,Chris Wilcox,LAC,21,208.28,103.872568,USA,2002,1,8,8.6,-4.7
3301,Chris Whitney,WAS,32,182.88,79.3786,USA,1993,2,47,2.9,-16
3302,Chris Webber,SAC,31,208.28,111.13004,USA,1993,1,1,18.7,-0.7
3303,Chris Mihm,BOS,24,213.36,120.20188,USA,2000,1,7,6.3,-2.5
3304,Chris Kaman,LAC,22,213.36,121.562656,USA,2003,1,6,6.1,-7.5
3305,Chris Jefferies,CHI,24,203.2,104.32616,USA,2002,1,27,4,5.6
3306,Chris Crawford,ATL,29,205.74,106.59412,USA,1997,2,50,10.2,-5.2
3307,Chris Bosh,TOR,20,208.28,95.25432,USA,2003,1,4,11.5,-3.4
3308,Chris Andersen,DEN,25,208.28,99.79024,USA,,,,3.4,0.5
3309,Cherokee Parks,GSW,31,210.82,108.86208,USA,1995,1,12,1,-12.6
3310,Chauncey Billups,DET,27,190.5,91.625584,USA,1997,1,3,16.9,7.5
3311,Charlie Ward,SAS,33,187.96,83.91452,USA,1994,1,26,6,-2.5
3312,Charles Oakley,HOU,40,205.74,111.13004,USA,1985,1,9,1.3,-7.9
3313,Cezary Trybanski,NYK,24,218.44,108.86208,Poland,,,,0.1,-53.8
3314,Casey Jacobsen,PHX,23,198.12,97.52228,USA,2002,1,22,6,-3.1
3315,Cuttino Mobley,HOU,28,193.04,97.52228,USA,1998,2,41,15.8,1.8
3316,Caron Butler,MIA,24,200.66,98.429464,USA,2002,1,10,9.2,1.9
3317,Dahntay Jones,MEM,23,198.12,95.25432,USA,2003,1,20,1.8,-11.2
3318,Dale Davis,POR,35,210.82,114.305184,USA,1991,1,13,4.4,-4.9
3319,Derrick Coleman,PHI,37,208.28,122.46984,USA,1990,1,1,8,-5.4
3320,Derek Fisher,LAL,29,185.42,92.98636,USA,1996,1,24,7.1,2.4
3321,Derek Anderson,POR,29,195.58,88.45044,USA,1997,1,13,13.6,2.2
3322,DerMarr Johnson,NYK,24,205.74,91.171992,USA,2000,1,6,5.4,-6.4
3323,DeShawn Stevenson,ORL,23,195.58,95.25432,USA,2000,1,23,11.4,-5.7
3324,DeSaga Diop,CLE,22,213.36,136.0776,Senegal,2001,1,8,2.3,-4.3
3325,David West,NOH,23,205.74,108.86208,USA,2003,1,18,3.8,-5.1
3326,David Wesley,NOH,33,185.42,92.079176,USA,,,,14,-1.4
3327,Darvin Ham,DET,30,200.66,108.86208,USA,,,,1.8,2.5
3328,Darrick Martin,MIN,33,180.34,77.11064,USA,,,,3.4,5.2
3329,Darrell Armstrong,NOH,36,185.42,81.64656,USA,,,,10.6,1.6
3330,Darko Milicic,DET,19,213.36,111.13004,Serbia,2003,1,2,1.4,-12.6
3331,Darius Songaila,SAC,26,205.74,112.490816,Lithuania,2002,2,49,4.6,7
3332,Darius Miles,POR,22,205.74,95.25432,USA,2000,1,3,10.9,-2.8
3333,Danny Fortson,DAL,28,203.2,117.93392,USA,1997,1,10,3.9,6.2
3334,Daniel Santiago,MIL,28,215.9,117.93392,Puerto Rico,,,,4,2.9
3335,Da Barros,BOS,37,180.34,74.84268,USA,1989,1,16,6,-58.2
3336,Dan Langhi,MIL,26,210.82,99.79024,USA,2000,2,31,2.2,15.7
3337,Dan Gadzuric,MIL,26,210.82,108.86208,Netherlands,2002,2,33,5.7,2.1
3338,Dan Dickau,POR,25,182.88,86.18248,USA,2002,1,28,2.2,-5.6
3339,Damone Brown,NJN,25,203.2,91.625584,USA,2001,2,36,1,-90.2
3340,Damon Stoudamire,POR,30,177.8,77.564232,USA,1995,1,7,13.4,-2.6
3341,Damon Jones,MIL,27,190.5,83.91452,USA,,,,7,0.1
3342,Dajuan Wagner,CLE,21,187.96,90.7184,USA,2002,1,6,6.5,-7.9
3343,Carmelo Anthony,DEN,20,203.2,99.79024,USA,2003,1,3,21,0.6
3344,Carlos Boozer,CLE,22,205.74,117.026736,USA,2002,2,34,15.5,0.5
3345,Carlos Arroyo,UTA,24,187.96,91.625584,Puerto Rico,,,,12.6,-1.4
3346,Baron Davis,NOH,25,190.5,101.151016,USA,1999,1,3,22.9,2.7
3347,Avery Johnson,GSW,39,180.34,83.91452,USA,,,,4.6,-2.7
3348,Austin Croshere,IND,29,208.28,109.769264,USA,1997,1,12,5,2.8
3349,Antonio McDyess,PHX,29,205.74,111.13004,USA,1995,1,2,6.9,-0.3
3350,Antonio Davis,CHI,35,205.74,104.32616,USA,1990,2,45,8.9,-6.3
3351,Antonio Daniels,SEA,29,193.04,92.98636,USA,1997,1,4,8,1.6
3352,Antoine Walker,DAL,27,205.74,111.13004,USA,1996,1,6,14,2.6
3353,Anthony Peeler,SAC,34,193.04,94.347136,USA,1992,1,15,5.7,4.9
3354,Anthony Johnson,IND,29,190.5,86.18248,USA,1997,2,39,6.2,-0.6
3355,Anthony Goldwire,NJN,32,187.96,82.553744,USA,1994,2,52,1.5,5.6
3356,Anthony Carter,SAS,29,187.96,88.45044,USA,,,,4.4,3.8
3357,Antawn Jamison,DAL,28,205.74,102.0582,USA,1998,1,4,14.8,6.1
3358,Ansu Sesay,SEA,27,205.74,102.0582,USA,1998,2,30,3.5,0.4
3359,Anfernee Hardaway,NYK,32,200.66,97.52228,USA,1993,1,3,9.2,-1
3360,Andrew DeClercq,ORL,31,208.28,115.66596,USA,1995,2,34,3.2,-3.7
3361,Andrei Kirilenko,UTA,23,205.74,102.0582,Russia,1999,1,24,16.5,1.2
3362,Andre Miller,DEN,28,187.96,90.7184,USA,1999,1,8,14.8,2.5
3363,Amar'e Stoudemire,PHX,21,208.28,111.13004,USA,2002,1,9,20.6,-2.8
3364,Amal McCaskill,PHI,30,210.82,106.59412,USA,1996,2,49,1.9,-4.1
3365,Alvin Williams,TOR,29,195.58,83.91452,USA,1997,2,47,8.8,-5.8
3366,Alton Ford,HOU,23,205.74,127.00576,USA,2001,2,50,1.7,0.5
3367,Alonzo Mourning,NJN,34,208.28,118.387512,USA,1992,1,2,8,-5
3368,Allen Iverson,PHI,29,182.88,74.84268,USA,1996,1,1,26.4,-2.1
3369,Ben Handlogten,UTA,30,208.28,108.86208,USA,,,,4,-4.7
3370,Ben Wallace,DET,29,205.74,108.86208,USA,,,,9.5,7.8
3371,Bimbo Coles,MIA,36,187.96,82.553744,USA,1990,2,40,1.3,-14.1
3372,Bo Outlaw,MEM,33,203.2,99.79024,USA,,,,4.6,6.4
3373,Calvin Booth,SEA,28,210.82,104.779752,USA,1999,2,35,4.9,-2.6
3374,Calbert Cheaney,GSW,32,200.66,98.429464,USA,1993,1,6,7.6,1.1
3375,Bryon Russell,LAL,33,200.66,102.0582,USA,1993,2,45,4,1.2
3376,Bryce Drew,NOH,29,190.5,83.460928,USA,1998,1,16,0.8,-14.1
3377,Bruno Sundov,NYK,24,218.44,111.583632,Croatia,1998,2,35,2.2,-9.9
3378,Bruce Bowen,SAS,33,200.66,90.7184,USA,,,,6.9,8.7
3379,Britton Johnsen,ORL,24,208.28,95.25432,USA,,,,2.1,-16.4
3380,Brian Skinner,MIL,28,205.74,120.20188,USA,1998,1,22,10.5,-1.9
3381,Brian Scalabrine,NJN,26,205.74,108.86208,USA,2001,2,34,3.5,-0.7
3382,Brian Grant,MIA,32,205.74,115.212368,USA,1994,1,8,8.7,0.2
3383,Brian Cook,LAL,23,205.74,106.140528,USA,2003,1,24,4.4,-2.5
3384,Derrick Dial,ORL,28,193.04,83.460928,USA,1998,2,52,2.9,8.4
3385,Brian Cardil,GSW,27,203.2,111.13004,USA,2000,2,44,9.6,3.7
3386,Brent Barry,SEA,32,198.12,92.079176,USA,1995,1,15,10.8,1.2
3387,Brendan Haywood,WAS,24,213.36,121.562656,USA,2001,1,20,7,-2.7
3388,Brandon Hunter,BOS,23,200.66,117.93392,USA,2003,2,56,3.5,-0.8
3389,Brandon Armstrong,NJN,24,195.58,83.91452,USA,2001,1,23,2.7,-14
3390,Brad Miller,SAC,28,213.36,118.387512,USA,,,,14.1,8.9
3391,Bostjan chbar,HOU,23,205.74,100.243832,Slovenia,2002,1,15,3.1,2
3392,Boris Diaw,ATL,22,203.2,97.52228,France,2003,1,21,4.5,-5.9
3393,Bonzi Wells,MEM,27,195.58,95.25432,USA,1998,1,11,12.3,0.1
3394,Bobby Simmons,LAC,24,198.12,106.59412,USA,2001,2,41,7.8,-3.6
3395,Bobby Jackson,SAC,31,185.42,83.91452,USA,1997,1,23,13.8,4.7
3396,Bob Sura,ATL,31,195.58,90.7184,USA,1995,1,17,7.5,0.8
3397,Brevin Knight,MIL,28,177.8,77.11064,USA,1997,1,16,4.7,-4.4
3398,Richard Hamilton,DET,26,200.66,87.543256,USA,1999,1,7,17.6,6.9
3399,Desmond Ferguson,POR,26,200.66,95.25432,USA,,,,1.9,20.5
3400,Desmond Penigar,ORL,22,200.66,111.13004,USA,,,,3.2,7.8
3401,Jeff Foster,IND,27,210.82,109.769264,USA,1999,1,21,6.1,12.6
3402,Jason Williams,MEM,28,185.42,86.18248,USA,1998,1,7,10.9,-0.2
3403,Jason Terry,ATL,26,187.96,81.64656,USA,1999,1,10,16.8,-4
3404,Jason Richardson,GSW,23,198.12,102.0582,USA,2001,1,5,18.7,-0.3
3405,Jason Kidd,NJN,31,193.04,96.161504,USA,1994,1,2,15.5,7.8
3406,Jason Kapono,CLE,23,203.2,96.615096,USA,2003,2,31,3.5,-7.6
3407,Jason Hart,SAS,26,190.5,83.91452,USA,2000,2,49,3.3,11.1
3408,Jason Collins,NJN,25,213.36,117.93392,USA,2001,1,18,5.9,6.8
3409,Jason Collier,ATL,26,213.36,117.93392,USA,2000,1,15,11.3,2.2
3410,Jarvis Hayes,WAS,22,200.66,99.79024,USA,2003,1,10,9.6,-7.2
3411,Jarron Collins,UTA,25,210.82,115.66596,USA,2001,2,52,6,-4.6
3412,Jared Jeffries,WAS,22,210.82,104.32616,USA,2002,1,11,5.7,-4.1
3413,Jannero Pargo,CHI,24,185.42,79.3786,USA,,,,6.7,-7.6
3414,Jamison Brewer,IND,23,193.04,83.460928,USA,2001,2,40,2.5,8.7
3415,James Posey,MEM,27,203.2,97.52228,USA,1999,1,18,13.7,3.8
3416,James Jones,IND,23,203.2,97.52228,USA,2003,2,49,1.2,-10
3417,Jamal Sampson,LAL,21,210.82,106.59412,USA,2002,2,46,2.9,-7.2
3418,Jamal Mashburn,NOH,31,203.2,112.037224,USA,1993,1,4,20.8,0.9
3419,Jamal Crawford,CHI,24,195.58,86.18248,USA,2000,1,8,17.3,-5.8
3420,Jamaal Tinsley,IND,26,190.5,88.45044,USA,2001,1,27,8.3,13.5
3421,Jamaal Magloire,NOH,26,210.82,117.480328,Cada,2000,1,19,13.6,-1.5
3422,Jalen Rose,TOR,31,203.2,98.429464,USA,1994,1,13,15.5,-2.5
3423,Jake Voskuhl,PHX,26,210.82,111.13004,USA,2000,2,33,6.6,-1
3424,Jeff McInnis,CLE,29,193.04,81.192968,USA,1996,2,37,11.8,-0.4
3425,Jake Tsakalidis,MEM,25,218.44,131.54168,Greece,2000,1,25,4.3,-2.3
3426,Jeff Trepagnier,DEN,24,193.04,90.7184,USA,2001,2,35,2.3,-13.9
3427,Jermaine O'Neal,IND,25,210.82,109.769264,USA,1996,1,17,20.1,8.3
3428,Kedrick Brown,CLE,23,200.66,100.697424,USA,2001,1,11,5.3,3.3
3429,Karl Malone,LAL,40,205.74,117.480328,USA,1985,1,13,13.2,8.1
3430,Kareem Rush,LAL,23,198.12,97.52228,USA,2002,1,20,6.4,-1.1
3431,Kaniel Dickens,POR,25,203.2,97.52228,USA,2000,2,50,2.3,-23.2
3432,Juwan Howard,ORL,31,205.74,104.32616,USA,1994,1,5,17,-7
3433,Jumaine Jones,BOS,25,203.2,98.883056,USA,1999,1,27,2.2,-5
3434,Juan Dixon,WAS,25,190.5,74.389088,USA,2002,1,17,9.4,-7.2
3435,Josh Howard,DAL,24,200.66,95.25432,USA,2003,1,29,8.6,8.2
3436,Josh Davis,ATL,23,203.2,108.86208,USA,,,,1.3,-24.3
3437,Jothan Bender,IND,23,213.36,99.336648,USA,1999,1,5,7,-1.6
3438,Jon Barry,DEN,34,195.58,95.25432,USA,1992,1,21,6.2,0.3
3439,John Wallace,MIA,30,205.74,102.0582,USA,1996,1,18,4.3,-9.3
3440,John Salmons,PHI,24,200.66,95.25432,USA,2002,1,26,5.8,-2.3
3441,Joel Przybilla,ATL,24,215.9,115.66596,USA,2000,1,9,2.9,-10.3
3442,Joe Smith,MIL,28,208.28,102.0582,USA,1995,1,1,10.9,1.1
3443,Joe Johnson,PHX,23,200.66,106.59412,USA,2001,1,10,16.7,-2.9
3444,Jiri Welsch,BOS,24,200.66,94.347136,Czech Republic,2002,1,16,9.2,-1.3
3445,Jim Jackson,HOU,33,198.12,99.79024,USA,1992,1,4,12.9,2.5
3446,Jerry Stackhouse,WAS,29,198.12,98.883056,USA,1995,1,3,13.9,-9.4
3447,Jerome Williams,CHI,31,205.74,93.439952,USA,1996,1,26,6.2,-6.7
3448,Jerome Moiso,TOR,26,208.28,106.59412,France,2000,1,11,2.9,-3.3
3449,Jerome James,SEA,28,215.9,123.377024,USA,1998,2,36,5,3.2
3450,Jerome Beasley,MIA,24,205.74,107.501304,USA,2003,2,33,1,40.4
3451,Jelani McCoy,CLE,26,208.28,111.13004,USA,1998,2,33,0,-38.3
3452,Jahidi White,PHX,28,205.74,131.54168,USA,1998,2,43,4.2,-5.4
3453,Jacque Vaughn,ATL,29,185.42,86.18248,USA,1997,1,27,3.8,-9.8
3454,Jabari Smith,SAC,27,210.82,108.86208,USA,2000,2,45,2.1,-12.6
3455,Eric Snow,PHI,31,190.5,92.532768,USA,1995,2,43,10.3,-2.8
3456,Eric Piatkowski,HOU,33,200.66,97.52228,USA,1994,1,15,4.1,-1.3
3457,Elton Brand,LAC,25,203.2,120.20188,USA,1999,1,1,20,-5.5
3458,Elden Campbell,DET,35,213.36,126.552168,USA,1990,1,27,5.6,5.1
3459,Eduardo jera,DAL,27,203.2,106.59412,Mexico,2000,2,38,3,5.4
3460,Eddy Curry,CHI,21,210.82,129.27372,USA,2001,1,4,14.7,-6.3
3461,Eddie Robinson,CHI,28,205.74,95.25432,USA,,,,6.7,-3.2
3462,Eddie Jones,MIA,32,198.12,90.7184,USA,1994,1,10,17.3,1.3
3463,Eddie House,LAC,26,185.42,79.3786,USA,2000,2,37,6.8,-9.5
3464,Eddie Gill,POR,25,182.88,86.18248,USA,,,,2.3,-3.4
3465,Earl Watson,MEM,25,185.42,86.18248,USA,2001,2,39,5.7,6.6
3466,Earl Boykins,DEN,28,165.1,60.327736,USA,,,,10.2,-0.1
3467,Dwyane Wade,MIA,22,193.04,96.161504,USA,2003,1,5,16.2,1.9
3468,Drew Gooden,ORL,22,208.28,109.769264,USA,2002,1,4,11.6,-12.8
3469,Doug Overton,LAC,34,190.5,86.18248,USA,1991,2,40,3.7,-5.9
3470,Doug Christie,SAC,34,198.12,92.98636,USA,1992,1,17,10.1,6.7
3471,Donyell Marshall,TOR,31,205.74,104.32616,USA,1994,1,4,14.7,-2.3
3472,Donnell Harvey,PHX,23,203.2,99.79024,USA,2000,1,22,4,-6.2
3473,Dirk Nowitzki,DAL,26,213.36,111.13004,Germany,1998,1,9,21.8,7.2
3474,Dion Glover,TOR,25,195.58,102.0582,USA,1999,1,20,9,-4.9
3475,Dikembe Mutombo,NYK,38,218.44,120.20188,Congo,1991,1,4,5.6,-1.4
3476,Devin Brown,SAS,25,195.58,106.59412,USA,,,,4,2
3477,Devean George,LAL,26,203.2,108.86208,USA,1999,1,23,7.4,4.7
3478,Eric Williams,CLE,31,203.2,99.79024,USA,1995,1,14,10,2.8
3479,Erick Dampier,GSW,28,210.82,120.20188,USA,1996,1,10,12.3,-0.5
3480,Erick Strickland,MIL,30,190.5,95.25432,USA,,,,5.4,4.3
3481,Ervin Johnson,MIN,36,210.82,115.66596,USA,1993,1,23,1.9,7.1
3482,J.R. Bremer,GSW,23,187.96,83.91452,USA,,,,3.3,-9.6
3483,Ira Newble,CLE,29,200.66,99.79024,USA,,,,4,-4.7
3484,Ime Udoka,LAL,26,195.58,97.52228,USA,,,,2,-17.6
3485,Hubert Davis,NJN,34,195.58,83.007336,USA,1992,1,20,0.2,4.6
3486,Howard Eisley,PHX,31,187.96,81.64656,USA,1994,2,30,6.9,-5.8
3487,Horace Grant,LAL,38,208.28,111.13004,USA,1987,1,10,4.1,1.6
3488,Hiram Fuller,ATL,23,205.74,108.86208,USA,,,,2,3
3489,Hedo Turkoglu,SAS,25,208.28,99.79024,Turkey,2000,1,16,9.2,12.7
3490,Greg Ostertag,UTA,31,218.44,127.00576,USA,1995,1,28,6.8,-0.6
3491,Greg Buckner,PHI,27,193.04,95.25432,USA,1998,2,53,3.1,-2.1
3492,Gordan Giricek,UTA,27,195.58,95.25432,Croatia,1999,2,40,11.3,-2.2
3493,Desmond Mason,MIL,26,195.58,100.697424,USA,2000,1,17,14.4,3.1
3494,Glenn Robinson,PHI,31,200.66,108.86208,USA,1994,1,1,16.6,-6.2
3495,Gilbert Ares,WAS,22,190.5,86.636072,USA,2001,2,30,19.6,-5.5
3496,Gerald Wallace,SAC,21,200.66,97.52228,USA,2001,1,25,2,-2.6
3497,George Lynch,NOH,33,203.2,106.59412,USA,1993,1,12,4.8,-2.9
3498,Gary Trent,MIN,29,203.2,113.398,USA,1995,1,11,5.6,-4.4
3499,Gary Payton,LAL,35,193.04,81.64656,USA,1990,1,2,14.6,5.8
3500,Fred Jones,IND,25,187.96,98.883056,USA,2002,1,14,4.9,2.3
3501,Fred Hoiberg,MIN,31,195.58,95.25432,USA,1995,2,52,6.7,4.5
3502,Frank Williams,NYK,24,190.5,96.161504,USA,2002,1,25,3.9,4.6
3503,Francisco Elson,DEN,28,213.36,106.59412,Netherlands,1999,2,41,3.5,-1.2
3504,Flip Murray,SEA,24,193.04,86.18248,USA,2002,2,41,12.4,-3.6
3505,Etan Thomas,WAS,26,208.28,117.93392,USA,2000,1,12,8.9,-8.5
3506,Glen Rice,LAC,37,203.2,103.418976,USA,1989,1,4,3.7,0.9
3507,Kenyon Martin,NJN,26,205.74,106.140528,USA,2000,1,1,16.7,5.1
3508,Aaron McKie,PHI,32,195.58,94.800728,USA,1994,1,17,2.2,0.2
3509,Keith Bogans,CHA,25,195.58,97.52228,USA,2003,2,43,9.6,-7.2
3510,Michael Ruffin,WAS,28,203.2,112.490816,USA,1999,2,32,1.4,-0.7
3511,Michael Redd,MIL,25,198.12,97.068688,USA,2000,2,43,23,-4
3512,Michael Olowokandi,MIN,30,213.36,122.46984,Nigeria,1998,1,1,5.9,-1.2
3513,Michael Finley,DAL,32,200.66,102.0582,USA,1995,1,21,15.7,8.2
3514,Michael Doleac,MIA,28,210.82,118.841104,USA,1998,1,12,4,3.1
3515,Michael Curry,IND,36,195.58,95.25432,USA,,,,1.7,-11.7
3516,Michael Bradley,PHI,26,205.74,102.965384,USA,2001,1,17,1.8,2.8
3517,Metta World Peace,IND,25,200.66,111.583632,USA,1999,1,16,24.6,7
3518,Melvin Ely,CHA,27,208.28,118.387512,USA,2002,1,12,7.3,-3.9
3519,Mehmet Okur,UTA,26,210.82,112.944408,Turkey,2001,2,37,12.9,-5.8
3520,Maurice Taylor,NYK,28,205.74,115.66596,USA,1997,1,14,7.3,-2.3
3521,Michael Stewart,ATL,30,208.28,104.32616,USA,,,,2.1,-12.8
3522,Maurice Evans,SAC,26,195.58,99.79024,USA,,,,6.4,-0.7
3523,Matt Harpring,UTA,29,200.66,104.779752,USA,1998,1,15,14,-7.3
3524,Matt Freije,NOH,23,208.28,112.944408,USA,2004,2,53,4,-9.9
3525,Matt Carroll,CHA,24,198.12,96.161504,USA,,,,9,2.3
3526,Matt Bonner,TOR,25,208.28,108.86208,USA,2003,2,45,7.2,-1
3527,Matt Barnes,SAC,25,200.66,102.511792,USA,2002,2,45,3.8,3.3
3528,Mateen Cleaves,SEA,27,187.96,95.25432,USA,2000,1,14,0.9,-16.5
3529,Marquis Daniels,DAL,24,198.12,90.7184,USA,,,,9.1,2.5
3530,Marko Jaric,LAC,26,200.66,98.429464,Serbia,2000,2,30,9.9,1.3
3531,Mark Pope,DEN,32,208.28,106.59412,USA,1996,2,52,0.4,-8.6
3532,Mark Madsen,MIN,29,205.74,107.047712,USA,2000,1,29,2.1,6.1
3533,Mark Jones,ORL,30,198.12,97.52228,USA,2004,4,82,2.3,-0.4
3534,Maurice Baker,POR,25,187.96,90.7184,USA,,,,0,27.3
3535,Michael Sweetney,NYK,22,203.2,122.46984,USA,2003,1,9,8.4,-2.3
3536,Mickael Pietrus,GSW,23,198.12,97.52228,France,2003,1,11,9.5,0.3
3537,Mike Bibby,SAC,27,185.42,86.18248,USA,1998,1,2,19.6,3.1
3538,Paul Shirley,PHX,27,208.28,104.32616,USA,,,,1.3,-49
3539,Paul Pierce,BOS,27,198.12,104.32616,USA,1998,1,10,21.6,3.5
3540,Pau Gasol,MEM,24,213.36,108.86208,Spain,2001,1,3,17.8,4.1
3541,Pat Garrity,ORL,28,205.74,107.954896,USA,1998,1,19,4.6,-7.2
3542,Pape Sow,TOR,23,208.28,113.398,Senegal,2004,2,47,2.3,0.3
3543,P.J. Brown,NOH,35,210.82,108.408488,USA,1992,2,29,10.8,-9.3
3544,Othella Harrington,CHI,31,205.74,106.59412,USA,1996,2,30,8,6.4
3545,Omar Cook,TOR,23,185.42,86.18248,USA,2001,2,31,4.6,14.9
3546,Obin Ekezie,ATL,29,205.74,122.46984,Nigeria,1999,2,37,5.5,-5.5
3547,Nikoloz Tskitishvili,GSW,22,213.36,102.0582,Georgia,2002,1,5,1.4,-7.9
